,property,listing_title,is_sponsored,listing_id,listing_url,number_reviews,listing_rank,all_rank,common_icons,is_special_offer,from_rate
0,property,      Mercure Jakarta Pantai Indah Kapuk,False,13131262,https://www.tripadvisor.com/Hotel_Review-g294229-d13131262-Reviews-Mercure_Jakarta_Pantai_Indah_Kapuk-Jakarta_Java.html,552,1,"2,075",Free Wifi Free parking ,False,0
1,property,      Hotel Ciputra Jakarta,False,306745,https://www.tripadvisor.com/Hotel_Review-g294229-d306745-Reviews-Hotel_Ciputra_Jakarta-Jakarta_Java.html,1262,2,"2,075",Free Wifi Free parking ,False,0
2,property,      Shangri-La Hotel Jakarta,False,302122,https://www.tripadvisor.com/Hotel_Review-g294229-d302122-Reviews-Shangri_La_Hotel_Jakarta-Jakarta_Java.html,2584,3,"2,075",Free Wifi Free parking ,True,0
3,property,      Hotel Indonesia Kempinski,False,1156456,https://www.tripadvisor.com/Hotel_Review-g294229-d1156456-Reviews-Hotel_Indonesia_Kempinski-Jakarta_Java.html,1571,4,"2,075",Free Wifi Free parking ,False,0
4,property,      Grand Whiz Poins Square,False,10499376,https://www.tripadvisor.com/Hotel_Review-g294229-d10499376-Reviews-Grand_Whiz_Poins_Square-Jakarta_Java.html,1200,5,"2,075",Free Wifi Free parking ,False,0
5,property,      Swiss-Belresidences Kalibata,False,8139854,https://www.tripadvisor.com/Hotel_Review-g294229-d8139854-Reviews-Swiss_Belresidences_Kalibata-Jakarta_Java.html,573,6,"2,075",Free Wifi Free parking ,False,0
6,property,      All Sedayu Hotel Kelapa Gading,False,5518262,https://www.tripadvisor.com/Hotel_Review-g294229-d5518262-Reviews-All_Sedayu_Hotel_Kelapa_Gading-Jakarta_Java.html,1116,7,"2,075",Free Wifi Free parking ,False,0
7,property,      ARTOTEL Thamrin - Jakarta,False,5992269,https://www.tripadvisor.com/Hotel_Review-g294229-d5992269-Reviews-ARTOTEL_Thamrin_Jakarta-Jakarta_Java.html,1525,8,"2,075",Free Wifi Free parking ,False,0
8,property,      YELLO Hotel Harmoni,False,11831361,https://www.tripadvisor.com/Hotel_Review-g294229-d11831361-Reviews-YELLO_Hotel_Harmoni-Jakarta_Java.html,2460,9,"2,075",Free Wifi Free parking ,False,0
9,property,      Ascott Jakarta,False,584869,https://www.tripadvisor.com/Hotel_Review-g294229-d584869-Reviews-Ascott_Jakarta-Jakarta_Java.html,687,10,"2,075",Free Wifi Free parking ,False,0
10,property,      Kyriad Fatmawati Jakarta,False,13353908,https://www.tripadvisor.com/Hotel_Review-g294229-d13353908-Reviews-Kyriad_Fatmawati_Jakarta-Jakarta_Java.html,366,11,"2,075",Free Wifi Free parking ,False,0
11,property,      Posto Dormire Hotel Jakarta,False,15219400,https://www.tripadvisor.com/Hotel_Review-g294229-d15219400-Reviews-Posto_Dormire_Hotel_Jakarta-Jakarta_Java.html,139,12,"2,075",Free Wifi Free parking ,False,0
12,property,      Veranda Hotel at Pakubuwono,False,7319655,https://www.tripadvisor.com/Hotel_Review-g294229-d7319655-Reviews-Veranda_Hotel_at_Pakubuwono-Jakarta_Java.html,803,13,"2,075",Free Wifi Free parking ,False,0
13,property,      Four Seasons Hotel Jakarta,False,10447589,https://www.tripadvisor.com/Hotel_Review-g294229-d10447589-Reviews-Four_Seasons_Hotel_Jakarta-Jakarta_Java.html,709,14,"2,075",Free Wifi Free parking ,False,0
14,property,      The Jayakarta SP Jakarta Hotel & Spa,False,307146,https://www.tripadvisor.com/Hotel_Review-g294229-d307146-Reviews-The_Jayakarta_SP_Jakarta_Hotel_Spa-Jakarta_Java.html,139,15,"2,075",Free Wifi Free parking ,False,0
15,property,      Red Planet Jakarta Pasar Baru,False,3312754,https://www.tripadvisor.com/Hotel_Review-g294229-d3312754-Reviews-Red_Planet_Jakarta_Pasar_Baru-Jakarta_Java.html,617,16,"2,075",Free Wifi Free parking ,False,0
16,property,      Ascott Sudirman Jakarta,False,15212798,https://www.tripadvisor.com/Hotel_Review-g294229-d15212798-Reviews-Ascott_Sudirman_Jakarta-Jakarta_Java.html,170,17,"2,075",Free Wifi Free parking ,False,0
17,property,      Juno Hotel,False,12310520,https://www.tripadvisor.com/Hotel_Review-g294229-d12310520-Reviews-Juno_Hotel-Jakarta_Java.html,142,18,"2,075",Free Wifi Free parking ,False,0
18,property,      favehotel Kelapa Gading,False,4432823,https://www.tripadvisor.com/Hotel_Review-g294229-d4432823-Reviews-Favehotel_Kelapa_Gading-Jakarta_Java.html,423,19,"2,075",Free Wifi Free parking ,False,0
19,property,      Oakwood Apartments PIK Jakarta,False,20253643,https://www.tripadvisor.com/Hotel_Review-g294229-d20253643-Reviews-Oakwood_Apartments_PIK_Jakarta-Jakarta_Java.html,60,20,"2,075",Free Wifi Pool ,False,0
20,property,      favehotel Puri Indah Jakarta,False,6619981,https://www.tripadvisor.com/Hotel_Review-g294229-d6619981-Reviews-Favehotel_Puri_Indah_Jakarta-Jakarta_Java.html,256,21,"2,075",Free Wifi Restaurant ,False,0
